106,105,5,Chiring,Tamang Lama,Chiring Tamang Lama,4/7/02,,110,,113,121,hycChiring T Lama.jpeg,,,,,,12/16/2019,Admin
107,106,5,Ashish,Gurung,Ashish Gurung,4/15/96,,110,,113,121,hycAshish Gurung.jpeg,,1,,,,12/16/2019,Admin
108,107,5,Kishor,Giri,Kishor Giri,12/14/95,,110,139,113,121,hycKishor Giri.jpeg,,1,,,,12/16/2019,Admin
109,108,5,Bishwash,Shrestha,Bishwash Shrestha,ÿ1997-04-10,,110,,113,121,hycBishwash Shrestha.jpeg,,,,,,12/16/2019,Admin
110,109,5,Diwash,Urau,Diwash Urau,ÿ1998-08-23,,110,,113,121,hycDiwash Urau.jpeg,,,,,,12/16/2019,Admin
111,110,5,Niraj,Basnet,Niraj Basnet,ÿ1995-09-20,,110,,113,121,hycNiraj Basnet.jpeg,,,,,,12/16/2019,Admin
112,111,5,Bikash,Rai,Bikash Rai,ÿ1988-12-12,,110,,113,121,hycBikash Rai.jpeg,,,,,,12/16/2019,Admin
113,112,5,Binod,Gurung,Binod Gurung,ÿ1996-05-14,,110,,113,121,hycBinod Gurung.jpeg,,,,,,12/16/2019,Admin
114,113,5,Chop Bahadur,Uchai,Chop Bahadur Uchai,ÿ2000-02-21,,110,,113,121,hycChop B Uchai.jpeg,,,,,,12/16/2019,Admin
115,114,5,Abhimanyu,Poudel,Abhimanyu Poudel,ÿ2000-12-30,,110,,113,121,hycAbhimanyu Poudel.jpeg,,,,,,12/16/2019,Admin
116,115,5,Suraj,Hamal,Suraj Hamal,ÿ1997-01-02,,110,,113,121,hycSuraj Hamal.jpeg,,,,,,12/16/2019,Admin
117,116,5,Ulrich,Siewe,Ulrich Siewe,2/17/96,,110,,120,121,hycUlrich Siewe.jpeg,,,,,2,12/16/2019,Admin
118,117,5,Stephane Samir Dieu Beni,Binong,Stephane Samir Dieu Beni Binong,ÿ1997-08-07,,110,,113,121,hycStephane S D B Binong.jpeg,,,,,S,12/16/2019,Admin
119,118,5,Sunil,Lama,Sunil Lama,ÿ2000-06-11,,110,,113,121,hycSunil Lama.jpeg,,,,,,12/16/2019,Admin
